Región del Libertador Gral. Bernardo O’Higgins;San Vicente;Solek Chile Services SpA;Parque Fotovoltaico Los Mayos;Solar Fotovoltaica;10;3.24;-34.511471;-71.172623
Región Metropolitana de Santiago;Buin;FOTOVOLTAICA BOLDO SPA;Planta Fotovoltaica La Colonia;Solar Fotovoltaica;15;9.9;-33.820568;-70.782656
Región de Los Lagos;Calbuco;Dalca SpA;PMGD Dalca;Eólica;16;21.6;-41.763399;-73.487518
Región Metropolitana de Santiago;Colina;Planta Solar Alvarado SpA;Planta Solar ALvarado;Solar Fotovoltaica;10;10.5;-33.254741;-70.688307
Región del Libertador Gral. Bernardo O’Higgins;Palmilla;CVE Proyecto Sesenta y Cuatro SpA;Parque Fotovoltaico Los Naranjos;Solar Fotovoltaica;11;9.0;-34.598685;-71.373498
Región de Valparaíso;Panquehue;CVE PROYECTO CINCUENTA Y TRES SPA;Parque Fotovoltaico Cronos Solar;Solar Fotovoltaica;5;5.1;-32.773828;-70.813261
Región de Valparaíso;La Ligua;Longotoma Solar SpA;Parque Fotovoltaico Los Boldos;Solar Fotovoltaica;290;240.8;-32.285473;-71.231772
Región de La Araucanía;Collipulli;GAIA SOLAR SPA;Planta Solar Collipulli;Solar Fotovoltaica;8;11.52;-37.924416;-72.484524
Región del Libertador Gral. Bernardo O’Higgins;La Estrella;FOTOVOLTAICA MAÑÍO SPA;CENTRAL SOLAR GRAN GUADALAO;Solar Fotovoltaica;0.8;0.8295;-34.255232;-71.572193
Región del Libertador Gral. Bernardo O’Higgins;Coltauco;Blue Solar Tres SpA;Parque Solar Coltauco;Solar Fotovoltaica;9.4;10.5;-34.220686;-70.998681
Región de Valparaíso;Casablanca;ANDINA SOLAR 14 SPA;Parque Fotovoltaico El Manzano III;Solar Fotovoltaica;3.1;2.36376;-33.308179;-71.433692
Región de Tarapacá;Huara;GR HUALO SPA;Parque Fotovoltaico Dolores;Solar Fotovoltaica;13.5;9.0;-19.599745;-69.958293
Región de Ñuble;Ñiquén;Sol del Sur 22 SpA;Parque Fotovoltaico Lo Magdalena;Solar Fotovoltaica;9;11.016;-36.0;-72.0
Región del Libertador Gral. Bernardo O’Higgins;Palmilla;Blue Light Energy SpA;Parque Solar Talinom;Solar Fotovoltaica;7.8;7.767;-34.514788;-71.410335
Región del Maule;Linares;BLE Asesorías e Inversiones SpA;Parque Solar Paso Cunao;Solar Fotovoltaica;9.4;10.49;-35.8373;-71.65568
Región de Tarapacá;Pozo Almonte;Parque Fotovoltaico Pita Solar SpA;Parque fotovoltaico y línea de transmisión Pita Solar;Solar Fotovoltaica;320;184.8;-20.186847;-69.781088
Región Metropolitana de Santiago;Alhué;Alhué Sunlight SpA;Parque Fotovoltaico Alhue Sunlight;Solar Fotovoltaica;10;11.17;-33.479696;-70.660866
Región de Coquimbo;Coquimbo;FOTOVOLTAICA FARO I SPA;Parque Fotovoltaico Faro de El Triunfo;Solar Fotovoltaica;6;6.24;-30.0;-71.0
Región de Valparaíso;Casablanca;Andina Solar 1 SPA;Parque Fotovoltaico El Manzano;Solar Fotovoltaica;12.3;11.9;-33.308531;-71.439651
Región de Valparaíso;Catemu;GR PUYEHUE SPA;Parque Fotovoltaico Triqueta;Solar Fotovoltaica;385.3;130.0;-32.683741;-70.950355
Región de Los Lagos;Osorno;ENERGIA RENOVABLE CIRCON SPA;PARQUE FOTOVOLTAICO EL ALMUD;Solar Fotovoltaica;14;7.11;-40.674979;-73.087077
Región del Libertador Gral. Bernardo O’Higgins;Chépica;Parque Fotovoltaico Chépica SpA;Parque Solar Fotovoltaico Chépica;Solar Fotovoltaica;6.6;7.6;-34.724717;-71.314956
Región de Antofagasta;Taltal;SAGESA SA;Plantas Fotovoltaicas Armazones y Paranal;Solar Fotovoltaica;12;10.016;-24.634606;-70.297389
Región Metropolitana de Santiago;Til-Til;Parsosy Belenos SpA;Proyecto Solar Til Til 2;Solar Fotovoltaica;12;12.15;-33.11995;-70.81147
Región Metropolitana de Santiago;Buin-Isla de Maipo;Energy Lancuyen SpA;Planta Solar La Puntilla;Solar Fotovoltaica;10;11.0;-33.750566;-70.828176
Región de Tarapacá;Pozo Almonte-Alto Hospicio;Minerva SpA;Parque Fotovoltaico con Capacidad de Almacenamiento Minerva;Solar Fotovoltaica;28;9.0;-20.319306;-70.049722
Región de Ñuble;Ñiquén;TEPÚ SPA;Parque Solar Fotovoltaico Tepú;Solar Fotovoltaica;7.5;7.5;-53.0;-69.0
Región Aisén del Gral.Carlos Ibáñez del Campo;Coyhaique;Eólica Kosten Aike SpA;Proyecto Eólico Kosten Aike;Eólica;62;36.0;-45.475552;-71.631861
Región Metropolitana de Santiago;Melipilla-María Pinto;PSF Canastero Spa;Planta Solar Fotovoltaica Canastero;Solar Fotovoltaica;150;90.0;-33.563786;-71.251247
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;PARQUE FOTOVOLTAICO ANDINO OCCIDENTE II SPA;PARQUE FOTOVOLTAICO ANDINO OCCIDENTE II;Solar Fotovoltaica;150;150.31;-34.387382;-71.574914
Región de Ñuble;Yungay;Solar TI Quince SpA.;Parque Fotovoltaico Pellín;Solar Fotovoltaica;10.3;11.7;-37.0;-72.0
Región de Coquimbo;Canela-Ovalle;PACIFIC HYDRO CHILE S.A.;Parque hibrido Amolanas;Eólico-Solar;340;199.1;-31.0;-72.0
Región de Valparaíso;Rinconada;Auco Sunlight SpA;Parque Fotovoltaico Auco Sunlight;Solar Fotovoltaica;10;12.79;-32.877611;-70.695335
Región de Antofagasta;Calama;Paine Energy SpA;Parque Fotovoltaico Verano de San Juan II;Solar Fotovoltaica;15;9.0;-22.48288967;-68.96831854
Región Metropolitana de Santiago;Melipilla;MANDINGA SOLAR SPA;Nueva Central Solar Fotovoltaica Mandinga;Solar Fotovoltaica;9.6;9.608;-34.0;-71.0
Región Metropolitana de Santiago;Til-Til;CVE Proyecto Cincuenta y Cinco SpA.;Parque Fotovoltaico Las Tres Angélicas Solar;Solar Fotovoltaica;8.7;6.0;-33.089502;-70.774437
Región Metropolitana de Santiago;Pirque;ORION POWER S.A.;Parque Solar Fotovoltaico Los Maitenes;Solar Fotovoltaica;20;15.68;-33.68;-70.53
Región del Biobío;Cabrero;EDUARDO MORICE SOFFIA;PARQUE FOTOVOLTAICO CABRERO SOLAR;Solar Fotovoltaica;10;9.0;-37.039316;-72.417105
Región de Valparaíso;San Esteban;CVE Proyecto Siete SpA;Parque Solar Liquidambar;Solar Fotovoltaica;12;10.57;-32.826832;-70.538451
Región del Biobío;Negrete;Windkraft Uno Chile SpA;Instalación de tres aerogeneradores en fundo Las Marías;Eólica;17;16.2;-37.5624308491;-72.6352686548
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;Ollague de Verano SpA;Parque Fotovoltaico Observatorio del Verano;Solar Fotovoltaica;90;112.0;-34.0;-72.0
Región Metropolitana de Santiago;Peñaflor;Solek Chile Holding SpA;Parque Fotovoltaico Santa Rebeca;Solar Fotovoltaica;10;10.66;-33.638884;-70.941685
Región de Valparaíso;Quillota;San Francisco V SpA;PSF San Francisco V;Solar Fotovoltaica;6;7.2;-33.0;-71.0
Región Metropolitana de Santiago;Maipú;Grupo energy Lancuyen spa;Planta Solar La Farfana;Solar Fotovoltaica;10;11.0;-33.479696;-70.660866
Región de Ñuble;Chillán;Draco Solar SpA;Parque Solar Chillán San Alberto;Solar Fotovoltaica;12;12.0;-37.0;-72.0
Región de Los Ríos;Valdivia;ENERGIA RENOVABLE ZAFIRO SPA;Parque Fotovoltaico Los Arrayanes;Solar Fotovoltaica;15;12.16;-39.718726;-73.085842
