Región de Coquimbo;Coquimbo;Las Tacas I SpA;Parque Fotovoltaico Las Tacas I;Solar;9;10.5;108;5
Región de La Araucanía;Melipeuco;José Pedro Fuentes De la Sotta;Modificaciones Proyecto Central de Pasada Tacura;Hidro;19.2;1.83;369;6
Región del Libertador Gral. Bernardo O’Higgins;Rengo;GR Tamarugo SpA;Planta Fotovoltaica Rinconada;Solar;7.8;8.0;222;2
Región de Los Lagos;Llanquihue;AM Eólica Llanquihue SpA;Proyecto Parque Eólico Aurora;Eólica;400;182.0;30;14
Región de Arica y Parinacota;Arica;Enel Green Power Chile Limitada;Proyecto Fotovoltaico Los Manolos;Solar;170;79.5;330;3
Región de Antofagasta;Antofagasta;Fotovoltaica Los Andes SpA.;FOTOVOLTAICA LOS ANDES (De Los Andes);Solar;50;30.0;74;4
Región del Biobío;Los Angeles;Juan Solar SPA;Parque Fotovoltaico Alcázar Solar;Solar;10;10.53;40;4
Región de Coquimbo;Ovalle;CAMARICO SOLAR SpA;CAMARICO SOLAR;Solar;8.4;10.66;84;2
Región de Valparaíso;Santa María;Chester Solar I SpA;Planta Fotovoltaica Jahuel 9 MW;Solar;16.2;9.0;185;5
Región de Los Lagos;Calbuco;Falúa SpA;PMGD Falúa;Eólica;16;21.6;330;14
Región de Tarapacá;Pozo Almonte;El Chañar SpA;Parque Solar El Chañar;Solar;40;22.0;11;2
Región de La Araucanía;Freire;Chilco Solar SpA;Parque Fotovoltaico Chilco Solar;Solar;10;10.33;351;4
Región del Biobío;Los Angeles;Asociación de Canalistas del Laja;CENTRAL HIDROELÉCTRICA DIUTO II;Hidro;17.1;3.8;32;5
Región de Los Ríos;Los Lagos-Paillaco-Valdivia;AR Caman SpA;Parque Eólico Caman;Eólica;590;302.4;224;13
Región de Los Ríos;Río Bueno;Hidroenersur S.A.;Modificación Proyecto Minicentral Hidroeléctrica de Pasada Casualidad: Minicentrales El Salto y El Mocho;Hidro;48;36.6;336;3
Región Metropolitana de Santiago;El Monte;LAUREL SPA;Parque Solar Fotovoltaico El Laurel;Solar;12.8;8.04;442;4
Región del Libertador Gral. Bernardo O’Higgins;Palmilla;CVE Proyecto Sesenta y Cuatro SpA;Parque Fotovoltaico Los Naranjos;Solar;11;9.0;138;2
Región de Los Ríos;Los Ríos;Cumbres S.A.;Central Hidroeléctrica de Pasada Cumbres;Hidro;50;19.0;560;5
Región de Atacama;Vallenar;Alto del Carmen Solar SpA;Proyecto Solar Fotovoltaico Sol del Pacifico;Solar;115;60.0;150;4
Región de Tarapacá;Pozo Almonte;COPEC;Parque fotovoltaico Granja Solar;Solar;200;100.0;15;3
Región del Libertador Gral. Bernardo O’Higgins;Rengo;OPDE CHILE SPA;Parque Fotovoltaico Esmeralda;Solar;9;10.07;282;4
